country,respondents,dem_pref,trust_pres,is_democracy,right_direction,economy_good,without_food,without_medical,without_cash,felt_unsafe,free_speech,dem_satisfied,trust_police,trust_courts,corruption_up,trust_citizens,china_positive,us_positive,internet_news
"Angola",1200,52.523126,30.121726,42.856662,32.474586,25.775660,81.441524,83.780910,81.272268,62.434465,55.550185,25.985754,32.936773,39.314437,40.410937,36.289087,62.908371,69.293409,38.190741
"Benin",1200,79.527378,57.612234,60.838960,58.727364,37.285724,66.017182,78.780819,93.916669,59.355614,62.316876,43.122836,69.681789,53.624437,13.055884,63.899668,79.630316,72.878631,25.811810
"Botswana",1200,77.361884,26.549498,53.442625,24.124070,12.920964,59.755941,64.607291,68.995890,50.991302,68.498919,30.789966,47.706156,56.552816,76.574009,36.611919,59.294526,61.852277,37.559489
"Burkina Faso",1200,54.666247,52.991854,39.023149,19.304692,20.370347,60.988610,65.800235,92.154534,76.275884,61.583514,33.833091,73.635755,51.827729,57.130590,73.771204,78.392300,70.107434,23.149456
"Cabo Verde",1199,85.068169,66.506970,53.132857,35.343769,8.359712,29.726630,33.902915,62.881530,41.449203,86.162253,26.385462,59.641382,60.023929,53.266603,66.818726,84.863612,87.321784,68.517231
"Cameroon",1200,56.972223,54.177153,38.938338,29.406779,25.952876,74.969632,74.230628,93.233610,62.339109,59.854080,28.265630,45.159369,36.446277,66.496425,52.855779,74.672941,55.364499,63.094070
"Congo-Brazzaville",1200,69.221529,45.312706,25.948510,19.473947,16.088781,86.807682,86.377783,94.569734,62.376337,39.013064,15.667157,42.760620,33.032967,65.778868,72.356083,69.299599,51.790185,39.210477
"Côte d'Ivoire",1200,69.906562,49.612111,40.859374,56.530875,48.056216,48.982371,65.587952,82.208014,51.727212,51.497697,34.163687,44.891104,41.652561,53.437480,66.947192,73.594306,63.067311,54.792009
"Eswatini",1200,59.008066,24.466641,18.544872,14.259774,6.099373,64.460009,77.669259,77.758187,65.750285,25.259825,11.401852,23.397169,28.930278,88.998040,39.053405,86.112912,75.977434,60.672312
"Ethiopia",2400,85.365113,49.948783,43.840916,43.024633,26.873617,60.273753,67.781866,87.201532,45.540034,66.761603,42.239249,57.655778,60.830134,64.766201,63.638647,58.456913,42.536845,18.659202
"Gabon",1200,73.375970,25.699531,14.619615,8.494063,9.871326,73.401678,77.455442,90.175983,65.303808,31.050373,7.406073,25.373454,30.955569,76.201959,63.902823,53.868523,50.224199,76.127671
"Gambia",1200,65.063416,39.921092,50.568969,21.720620,17.600255,50.543726,75.960946,78.983864,53.544237,89.391273,39.520590,52.577594,46.873120,78.261904,66.854797,35.594630,54.486750,45.822488
"Ghana",2369,76.065771,32.647282,62.198603,11.634682,11.255303,36.361813,42.580119,78.623113,41.715877,84.061846,51.102314,27.797122,35.854384,77.216073,45.188696,30.938828,50.387659,40.789651
"Guinea",1200,67.481791,48.611944,27.654554,31.756824,22.662114,61.030227,72.869913,92.164108,45.469121,70.554472,21.136601,38.334993,35.184039,35.247868,80.228075,63.109662,69.267504,29.001800
"Kenya",2400,79.762894,52.331198,60.110547,24.788384,9.354414,61.095864,62.305866,90.922554,44.470640,77.375171,46.901119,34.669917,57.390659,76.810049,62.601016,63.606877,73.927140,46.147339
"Lesotho",1200,52.268480,20.243576,29.582002,12.214072,19.271699,66.482981,48.975092,85.723432,49.536648,68.621008,27.189016,33.679404,45.606606,81.643889,42.828613,62.389601,76.807704,29.460308
"Liberia",1200,73.038680,38.208964,63.852204,25.845483,30.877878,75.826468,82.083162,79.432061,60.424498,73.297552,45.797208,26.543107,30.708395,75.333291,48.915614,83.464958,85.583568,33.679714
"Madagascar",1200,55.140667,51.778844,51.459135,30.015868,17.718549,73.875146,68.867574,98.048297,72.174331,78.999118,26.494261,50.967289,27.710821,63.385481,57.336149,43.115034,60.615730,7.277517
"Malawi",1200,58.710496,26.398820,43.575577,10.598563,9.225945,73.505354,70.513888,93.059655,45.565016,59.613153,39.998761,46.789688,63.629537,68.588098,65.082907,63.912852,69.133567,11.145326
"Mali",1200,39.869055,86.319806,26.171611,67.633806,26.062001,47.057275,49.173581,84.545726,49.073368,70.367850,26.203226,59.923029,41.761109,20.820580,86.360575,80.096904,53.981235,29.388423
