study,iso3,name,year,respondents,sat_share,sat_n,lr_mean,lr_n,power_share,power_n,vote_share,vote_n
AUS_2022,AUS,"Australia",2022,3269,80.72,3247,4.86,3147,,0,70.91,3259
AUT_2024,AUT,"Austria",2024,1569,70.00,1550,4.38,1462,,0,80.91,1545
BRA_2022,BRA,"Brazil",2022,2001,26.38,1945,6.35,1687,,0,80.47,1976
CHE_2023,CHE,"Switzerland",2023,5033,86.95,4975,5.43,4493,,0,56.42,4966
DNK_2022,DNK,"Denmark",2022,1549,86.63,1503,5.03,1343,,0,74.16,1486
FRA_2022,FRA,"France",2022,1575,57.83,1558,4.87,1526,,0,61.44,1569
MKD_2024,MKD,"North Macedonia",2024,1055,41.67,1039,5.87,661,,0,51.07,1024
MNE_2023,MNE,"Montenegro",2023,1200,44.69,1195,4.18,931,,0,42.53,1192
NZL_2023,NZL,"New Zealand",2023,910,71.76,871,5.22,794,,0,84.43,899
POL_2023,POL,"Poland",2023,1500,61.00,1382,5.20,1339,,0,72.76,1483
PRT_2022,PRT,"Portugal",2022,1010,61.58,989,4.97,855,,0,73.53,986
PRT_2024,PRT,"Portugal",2024,1001,53.34,988,5.35,870,,0,80.73,991
SVK_2023,SVK,"Slovakia",2023,1021,47.38,1013,4.82,899,,0,55.12,1016
SVN_2022,SVN,"Slovenia",2022,855,34.30,790,4.93,667,,0,76.21,803
SWE_2022,SWE,"Sweden",2022,2845,85.46,2745,5.24,2448,,0,74.50,2725
TUR_2023,TUR,"Turkiye",2023,1508,29.82,1469,5.24,1251,,0,74.16,1482
TWN_2024,TWN,"Taiwan",2024,1206,76.58,1170,,0,,0,66.52,1174
USA_2024,USA,"United States of America",2024,4764,,0,5.53,4644,,0,70.16,4705
