study,iso3,name,year,respondents,sat_share,sat_n,lr_mean,lr_n,power_share,power_n,vote_share,vote_n
ALB_2005,ALB,"Albania",2005,1116,36.48,1091,5.71,1045,67.97,1102,75.00,1100
ALB_2017,ALB,"Albania",2017,1255,22.92,1248,3.97,1123,82.39,1249,60.36,1236
ARG_2015,ARG,"Argentina",2015,1406,,0,5.63,1241,59.29,1388,67.46,1389
AUS_1996,AUS,"Australia",1996,1798,77.97,1766,5.46,1548,67.97,1770,70.18,1774
AUS_2004,AUS,"Australia",2004,1769,81.55,1729,5.34,1454,66.61,1752,65.66,1750
AUS_2007,AUS,"Australia",2007,1873,85.57,1857,5.29,1705,68.25,1855,71.36,1854
AUS_2013,AUS,"Australia",2013,3953,71.77,3852,5.03,3451,60.30,3858,63.81,3860
AUS_2019,AUS,"Australia",2019,2000,72.30,1988,5.35,1907,71.38,1996,71.13,1996
AUT_2008,AUT,"Austria",2008,1165,74.54,1142,4.82,1016,72.41,1159,75.60,1159
AUT_2013,AUT,"Austria",2013,1000,65.53,998,4.66,881,45.32,993,48.57,997
AUT_2017,AUT,"Austria",2017,1203,75.39,1180,5.42,1203,79.90,1195,79.95,1195
BEL_2003,BEL,"Belgium",2003,2225,69.84,2133,4.98,2006,46.98,2126,46.58,2165
BELF1999,BEL,"Belgium",1999,2179,60.48,2057,5.22,1917,66.27,1889,60.06,1891
BELF2019,BEL,"Belgium",2019,1084,51.80,1071,5.56,1013,64.89,1064,46.78,1055
BELW1999,BEL,"Belgium",1999,1960,63.59,1860,4.67,1758,48.02,1927,46.48,1942
BELW2019,BEL,"Belgium",2019,730,42.27,727,4.72,679,51.42,718,40.72,719
BGR_2001,BGR,"Bulgaria",2001,1482,21.91,1322,5.76,1354,64.89,1342,60.53,1259
BGR_2014,BGR,"Bulgaria",2014,999,20.08,951,5.23,750,62.94,985,63.19,985
BLR_2001,BLR,"Belarus",2001,1000,47.22,809,5.74,412,83.85,960,58.89,934
BLR_2008,BLR,"Belarus",2008,1000,58.77,895,5.67,347,85.25,983,44.66,974
BRA_2002,BRA,"Brazil",2002,2514,32.39,2322,5.13,1892,73.31,2426,78.61,2457
BRA_2006,BRA,"Brazil",2006,1000,44.72,950,6.04,581,78.93,985,77.62,980
BRA_2010,BRA,"Brazil",2010,2000,50.24,1909,6.35,1104,82.11,1973,83.62,1984
BRA_2014,BRA,"Brazil",2014,3136,40.20,2973,6.34,1765,79.92,3082,78.59,3087
BRA_2018,BRA,"Brazil",2018,2506,12.62,2440,6.57,1973,77.53,2448,79.90,2468
CAN_1997,CAN,"Canada",1997,1851,72.94,1770,5.33,1260,55.76,1833,61.38,1836
CAN_2004,CAN,"Canada",2004,1674,70.84,1663,5.13,1493,48.34,1657,60.31,1658
CAN_2008,CAN,"Canada",2008,4495,74.03,4367,5.18,1760,55.85,1898,65.84,1903
CAN_2011,CAN,"Canada",2011,3458,64.76,3363,5.02,1069,61.50,1117,70.93,1118
CAN_2015,CAN,"Canada",2015,4202,69.63,4076,4.91,1243,69.44,1263,75.68,1279
CAN_2019,CAN,"Canada",2019,2889,67.08,2853,5.08,2425,73.26,2858,76.80,2869
CHE_1999,CHE,"Switzerland",1999,2048,74.73,2022,5.19,1881,71.65,2000,68.04,2015
CHE_2003,CHE,"Switzerland",2003,1418,76.92,1395,5.05,1352,64.71,1397,70.23,1404
CHE_2007,CHE,"Switzerland",2007,3164,81.45,3127,5.30,2973,,0,75.37,2253
CHE_2011,CHE,"Switzerland",2011,4391,84.16,4362,5.11,4278,71.59,1714,73.09,1728
CHE_2019,CHE,"Switzerland",2019,4645,86.92,4619,5.25,4289,69.84,4619,69.77,4565
CHL_1999,CHL,"Chile",1999,1173,,0,5.51,1065,51.09,1147,49.17,1151
CHL_2005,CHL,"Chile",2005,1200,61.44,1176,4.72,1010,62.83,1160,67.97,1169
CHL_2009,CHL,"Chile",2009,1200,,0,5.44,918,62.72,1159,68.17,1157
CHL_2017,CHL,"Chile",2017,2000,26.38,1914,5.07,1503,56.26,1912,69.08,1942
CRI_2018,CRI,"Costa Rica",2018,1456,41.63,1435,6.85,814,67.77,1393,79.88,1409
CZE_1996,CZE,"Czech Republic/Czechia",1996,1229,61.05,1176,5.78,1191,86.72,1220,73.19,1216
CZE_2002,CZE,"Czech Republic/Czechia",2002,948,45.93,860,4.68,869,56.72,945,47.51,945
CZE_2006,CZE,"Czech Republic/Czechia",2006,2002,49.17,1869,5.44,1733,68.97,1885,65.01,1892
CZE_2010,CZE,"Czech Republic/Czechia",2010,1857,43.81,1744,5.41,1601,64.68,1798,59.28,1810
CZE_2013,CZE,"Czech Republic/Czechia",2013,1653,34.67,1575,4.97,1426,61.24,1602,54.01,1607
CZE_2017,CZE,"Czech Republic/Czechia",2017,1559,52.13,1477,5.56,1275,67.99,1515,61.92,1510
CZE_2021,CZE,"Czech Republic/Czechia",2021,1490,46.63,1429,5.71,1199,72.55,1431,69.63,1428
DEU_1998,DEU,"Germany",1998,2019,68.17,1992,4.43,1857,65.19,1961,72.07,1977
DEU_2005,DEU,"Germany",2005,2018,59.45,2014,4.74,1940,44.74,1999,,0
DEU_2009,DEU,"Germany",2009,2095,54.30,2030,4.45,1831,57.35,2074,59.76,2069
DEU_2013,DEU,"Germany",2013,1889,66.48,1838,4.46,1697,55.81,1875,59.02,1866
DEU_2017,DEU,"Germany",2017,2032,73.15,2017,4.26,1898,59.83,2017,70.35,2021
DEU_2021,DEU,"Germany",2021,3152,66.41,3140,4.40,2927,67.96,3145,70.81,3110
DEU12002,DEU,"Germany",2002,2000,54.71,1992,4.52,1888,36.61,1982,51.06,1992
DEU22002,DEU,"Germany",2002,1023,36.52,1023,4.38,943,59.49,1002,66.30,1008
DNK_1998,DNK,"Denmark",1998,2001,89.15,1979,5.55,1932,69.79,1984,75.04,1970
DNK_2001,DNK,"Denmark",2001,2026,93.42,2006,5.54,1951,59.74,2007,74.20,2000
DNK_2007,DNK,"Denmark",2007,1442,92.14,1399,5.33,1289,69.86,1407,80.91,1404
DNK_2019,DNK,"Denmark",2019,1418,87.31,1358,5.06,1232,72.51,1363,72.21,1368
ESP_1996,ESP,"Spain",1996,1212,62.81,1185,4.40,1037,76.40,1191,73.49,1180
ESP_2000,ESP,"Spain",2000,1208,86.01,1189,4.71,1030,73.55,1177,71.26,1169
ESP_2004,ESP,"Spain",2004,1212,77.64,1054,4.14,1065,75.21,1182,73.78,1176
ESP_2008,ESP,"Spain",2008,1204,81.45,1030,4.38,1069,72.18,1163,68.16,1157
EST_2011,EST,"Estonia",2011,1000,51.12,953,5.68,788,70.79,987,61.73,981
FIN_2003,FIN,"Finland",2003,1196,69.51,1174,5.57,1081,59.46,1184,59.53,1186
FIN_2007,FIN,"Finland",2007,1283,77.37,1264,5.67,1192,72.63,1275,69.61,1280
FIN_2011,FIN,"Finland",2011,1298,76.13,1278,5.33,1205,75.35,1290,72.40,1286
FIN_2015,FIN,"Finland",2015,1587,75.87,1568,5.65,1388,76.25,1566,66.91,1565
FIN_2019,FIN,"Finland",2019,1598,76.65,1538,5.33,1354,81.06,1520,73.08,1546
FRA_2002,FRA,"France",2002,1000,56.32,988,5.18,965,42.26,984,61.94,995
FRA_2007,FRA,"France",2007,2000,64.72,1991,5.61,1959,47.73,1988,67.90,1995
FRA_2012,FRA,"France",2012,2014,65.53,1966,4.62,1916,43.59,1986,61.93,1988
FRA_2017,FRA,"France",2017,1830,52.04,1781,4.87,1672,46.28,1808,58.29,1810
GBR_1997,GBR,"Great Britain",1997,2897,74.86,2848,5.03,2391,66.40,2863,65.61,2867
GBR_2005,GBR,"Great Britain",2005,860,72.58,844,5.20,626,37.29,854,50.28,853
GBR_2015,GBR,"Great Britain",2015,1567,62.83,1487,4.92,1386,60.57,1525,63.14,1528
GBR_2017,GBR,"Great Britain",2017,984,52.33,945,4.84,891,72.13,950,74.32,948
GBR_2019,GBR,"Great Britain",2019,2537,47.69,2395,5.10,2066,68.56,2375,68.44,2386
GRC_2009,GRC,"Greece",2009,1022,25.57,1017,5.33,930,38.33,1015,51.13,1015
GRC_2012,GRC,"Greece",2012,1029,7.12,1021,4.95,947,45.93,1015,56.57,1016
GRC_2019,GRC,"Greece",2019,1324,23.85,1286,5.03,1137,57.71,1297,63.69,1266
GRC12015,GRC,"Greece",2015,1008,19.64,975,4.61,964,64.38,996,75.04,981
