code,name,students,civic
BGR,"",3113,455.9214
BRA,"",5885,456.6728
COL,"",4193,452.0707
CYP,"",3136,458.9608
DNK,"",4769,555.8866
DNW,"",3266,524.4767
DSH,"",1487,543.8885
ESP,"",3487,509.7008
EST,"",2685,545.1539
FRA,"",3533,508.2768
HRV,"",2759,531.3191
ITA,"",2945,522.9858
LTU,"",3560,508.8804
LVA,"",2876,490.1111
MLT,"",2720,489.5466
NLD,"",2609,508.2892
NOR,"",5673,529.1304
POL,"",4434,554.2193
ROU,"",2768,470.1234
SRB,"",2640,463.9427
SVK,"",3202,501.0986
SVN,"",3466,504.0589
SWE,"",3263,564.6128
TWN,"",3852,583.0600
