code,name,students,cil,ct
AUT,"",3448,505.5764,476.3230
AZE,"",3634,318.6523,nan
BFL,"",3365,510.6103,509.1170
BIH,"",1877,440.2826,nan
CHL,"",3216,429.2211,nan
CYP,"",3182,460.4221,nan
CZE,"",8169,525.3865,526.6879
DEU,"",5065,501.8373,479.0313
DNK,"",3038,517.8643,503.9710
DNW,"",2726,484.7139,460.6882
ESP,"",11799,495.2037,nan
FIN,"",4249,506.6932,501.5009
FRA,"",3694,497.6354,499.3177
GRC,"",3576,459.9081,nan
HRV,"",2911,486.6035,428.7078
HUN,"",3491,504.9441,nan
ITA,"",3376,490.5434,482.0218
KAZ,"",4852,406.9882,nan
KOR,"",3723,540.3995,536.7532
LUX,"",4703,493.6714,475.5201
LVA,"",2705,508.8083,495.2045
MLT,"",3115,475.0184,437.9385
NLD,"",1288,459.5847,440.3272
NOR,"",4436,502.0750,484.7228
OMN,"",6437,379.1219,nan
PRT,"",3650,509.7129,483.8846
ROU,"",3270,417.5924,nan
SRB,"",3125,442.9979,421.7582
SVK,"",3034,498.6932,498.1473
SVN,"",3318,483.4782,448.2490
SWE,"",3401,504.2374,486.4318
TWN,"",5112,515.2704,548.3956
URY,"",2933,447.1339,421.1036
USA,"",2352,481.6374,461.4547
XKX,"",3345,355.5548,nan
