code,name,students,reading
AAD,"",10381,439.5624
ADU,"",7711,551.8599
ALB,"",4213,512.7426
ARE,"",27448,483.0850
AUS,"",5487,540.1345
AUT,"",4806,529.7630
AZE,"",5209,440.2748
BFL,"",5114,510.7227
BFR,"",4279,494.2658
BGR,"",4043,539.8938
BHR,"",5208,458.3948
BRA,"",4941,418.8765
CAB,"",3020,538.6870
CBC,"",4675,535.2954
CNL,"",2445,523.3165
CQU,"",3739,551.0024
CYP,"",4589,510.8670
CZE,"",6621,539.6515
DEU,"",4611,523.9744
DNK,"",4821,539.0020
EGY,"",7979,378.2326
ENG,"",4150,557.5525
ESP,"",8551,521.2143
FIN,"",7018,549.3000
FRA,"",5339,513.7371
GEO,"",5241,494.0261
HKG,"",3830,572.8210
HRV,"",3937,556.5542
HUN,"",5312,539.4217
IRL,"",4663,577.3279
IRN,"",5962,412.7746
ISR,"",4890,510.0537
ITA,"",5440,537.1775
JOR,"",6150,380.5271
KAZ,"",7023,503.5885
LTU,"",4623,552.2204
LVA,"",4369,527.6827
MAC,"",5093,535.5650
MAR,"",7017,372.3896
MKD,"",2929,442.1474
MLT,"",3030,514.6412
MNE,"",4489,487.1616
NIR,"",4050,565.9341
NLD,"",4313,527.2375
NOR,"",5382,538.7904
NZL,"",5557,521.4675
OMN,"",5321,429.4798
POL,"",4179,549.1209
PRT,"",6111,519.7634
QAT,"",5258,484.7257
RMO,"",5745,598.2349
RUS,"",5217,567.1089
SAU,"",4778,448.5494
SGP,"",6719,587.1384
SRB,"",4037,513.5787
SVK,"",4841,529.0719
SVN,"",5110,519.6575
SWE,"",5175,543.5193
TUR,"",6032,496.4470
TWN,"",5555,543.7590
USA,"",1657,547.5437
UZB,"",5846,436.8441
XKX,"",4557,420.5480
ZA6,"",9317,384.2695
ZAF,"",12422,288.2159
