code,name,students,math,science
AAD,"",12558,458.5853,446.1415
ADU,"",9294,556.5811,562.3922
ALB,"",2374,511.5825,490.5998
ARE,"",34842,498.0855,494.9497
ARM,"",4855,512.6351,457.2906
ASH,"",6864,503.9368,502.8046
AUS,"",5470,524.9035,549.5002
AZE,"",6057,494.0651,421.6027
BFL,"",4336,520.7867,488.3576
BFR,"",4875,489.4341,480.6785
BGR,"",4103,529.8966,529.5846
BHR,"",5435,461.5878,474.9955
BIH,"",3391,447.0960,448.3487
BRA,"",22130,400.0220,425.0281
CAN,"",13716,503.8073,521.1253
CHL,"",4537,443.5424,479.2523
COT,"",4266,502.8140,525.2649
CQU,"",3881,514.6937,507.5048
CYP,"",4829,516.2950,486.9837
CZE,"",6822,530.4311,525.8413
DEU,"",4442,523.7840,515.4773
DNK,"",5166,523.6989,522.1146
ENG,"",4091,551.9553,556.3181
ESP,"",10216,498.3176,504.0387
FIN,"",5803,529.2559,542.0588
FRA,"",4739,484.0991,488.1341
GEO,"",4411,497.8786,464.9623
HKG,"",4141,594.3881,545.2310
HUN,"",5241,520.2551,524.2439
IRL,"",4750,545.7704,531.8995
IRN,"",6138,419.5893,432.0961
ITA,"",4453,513.0870,510.5523
JOR,"",6065,426.9648,417.6881
JPN,"",3875,590.6653,554.8338
KAZ,"",6508,487.1769,466.5300
KOR,"",4355,594.4118,583.2645
KWT,"",4486,381.9761,373.3174
LTU,"",4520,560.6228,536.9480
LVA,"",4299,534.3004,525.5452
MAC,"",5513,582.0412,535.7885
MAR,"",7846,393.2451,390.2242
MKD,"",4633,473.5395,438.6403
MNE,"",4417,477.0728,460.6789
NLD,"",3555,537.1240,516.9196
NOR,"",5301,530.5566,530.4362
NZL,"",4947,490.2756,517.0717
OMN,"",8068,421.3615,432.6494
POL,"",4666,546.0228,549.8445
PRT,"",5214,517.2786,510.6279
QAT,"",6412,463.9648,472.1361
ROM,"",3559,541.8522,526.2065
SAU,"",5515,419.5002,427.5799
SGP,"",6530,614.7797,607.3513
SRB,"",4349,522.9273,509.8597
SVK,"",4788,514.7984,520.5926
SVN,"",4746,513.7806,525.6442
SWE,"",5139,529.9177,532.5130
TUR,"",4541,553.2616,570.1124
TWN,"",5308,607.0300,572.6067
USA,"",9090,516.9336,532.4244
UZB,"",4457,443.4615,411.8723
XKX,"",4609,451.3987,403.1171
ZAF,"",10424,361.6672,307.9180
